,Game,Initial,Final,Reward
11739,9401,10000.0,10033.87,-130.13
11740,5238,10000.0,9906.49,-320.01
11741,2624,10000.0,9979.5,-307.0
11742,11802,10000.0,9862.76,-323.74
11743,12645,10000.0,9946.15,-185.85
11744,3907,10000.0,9928.88,-278.12
11745,4880,10000.0,9919.61,-371.39
11746,10966,10000.0,10188.89,76.89
11747,9461,10000.0,10029.78,-146.22
11748,5738,10000.0,9980.88,-244.62
11749,13445,10000.0,10022.78,-96.22
11750,11292,10000.0,10472.61,327.61
11751,10438,10000.0,9815.22,-482.78
11752,9427,10000.0,9987.88,-297.12
11753,10780,10000.0,10699.25,581.25
11754,13605,10000.0,9915.94,-631.56
11755,9002,10000.0,10313.3,204.3
11756,5038,10000.0,10033.85,-120.15
11757,7346,10000.0,10089.06,-29.94
11758,8120,10000.0,10060.08,-77.42
11759,4305,10000.0,10030.67,-112.83
11760,4258,10000.0,9495.82,-1200.68
11761,5249,10000.0,9893.43,-358.57
11762,1889,10000.0,10996.0,722.5
11763,13242,10000.0,10023.29,-92.71
11764,11188,10000.0,9854.57,-301.43
11765,10153,10000.0,10126.72,-45.28
11766,9219,10000.0,9993.52,-240.48
11767,1943,10000.0,9414.83,-885.67
11768,6558,10000.0,10164.96,-46.04
11769,12327,10000.0,9999.79,-264.71
11770,4555,10000.0,10069.8,-55.2
11771,3210,10000.0,9949.72,-247.78
11772,2762,10000.0,9734.97,-592.53
11773,2975,10000.0,10022.38,-206.12
11774,7954,10000.0,8646.68,-1579.32
11775,11658,10000.0,9834.56,-466.44
11776,12283,10000.0,9872.82,-377.18
11777,12819,10000.0,9959.94,-227.56
11778,2288,10000.0,9914.39,-271.61
11779,1616,10000.0,9113.42,-1163.58
11780,1309,10000.0,10000.0,-264.5
11781,5937,10000.0,10153.7,27.7
11782,11866,10000.0,9923.97,-318.03
11783,10599,10000.0,9708.78,-710.72
11784,2934,10000.0,10217.65,57.65
11785,3302,10000.0,10075.52,-55.48
11786,8597,10000.0,10000.0,-264.5
11787,7060,10000.0,9836.45,-461.55
11788,4858,10000.0,10369.16,259.66
11789,6019,10000.0,9890.47,-404.53
11790,4379,10000.0,9938.18,-307.82
11791,6161,10000.0,10060.15,-145.85
11792,493,10000.0,9955.7,-245.8
11793,956,10000.0,10218.08,218.58
11794,11299,10000.0,9925.44,-299.56
11795,2045,10000.0,9931.2,-320.8
11796,8595,10000.0,9981.47,-198.53
11797,10606,10000.0,9807.25,-481.75
11798,2815,10000.0,9989.04,-132.46
11799,11175,10000.0,10007.46,-114.54
11800,2862,10000.0,10024.29,-91.71
11801,1808,10000.0,8982.76,-1711.74
11802,1195,10000.0,9934.64,-342.36
11803,6492,10000.0,10118.77,-85.23
11804,9088,10000.0,9903.2,-387.8
11805,12121,10000.0,10168.44,-12.56
11806,2239,10000.0,9987.85,-185.15
